path	chapter	relevance	use_case	action
plots/labels/any_strong_grid.png	Chapter 2	Medium	Weak-label sanity checks	Promote 1-2 grids
plots/labels/clean_control_grid.png	Chapter 2	Medium	Weak-label sanity checks	Promote 1-2 grids
plots/labels/excess_strong_grid.png	Chapter 2	Medium	Weak-label sanity checks	Promote 1-2 grids
plots/labels/ipd_strong_grid.png	Chapter 2	Medium	Weak-label sanity checks	Promote 1-2 grids
plots/labels/ruwe_strong_grid.png	Chapter 2	Medium	Weak-label sanity checks	Promote 1-2 grids
plots/ml_runs/ml_xgb_8d/01_rmse_per_component_test.png	Chapter 3-4	High	Reconstruction backbone and ablation/model comparison	Promote
plots/ml_runs/ml_xgb_8d/01b_rmse_normalized_by_scatter_test.png	Chapter 3-4	High	Reconstruction backbone and ablation/model comparison	Promote
plots/ml_runs/ml_xgb_8d/02_explainedvar_vs_rmse_test.png	Chapter 3-4	High	Reconstruction backbone and ablation/model comparison	Promote
plots/ml_runs/ml_xgb_8d/03_perstamp_pixel_rmse_hist.png	Chapter 3-4	High	Reconstruction backbone and ablation/model comparison	Promote
plots/ml_runs/ml_xgb_8d/04_mean_maps_true_pred_absresid.png	Chapter 3-4	High	Reconstruction backbone and ablation/model comparison	Promote
plots/ml_runs/ml_xgb_8d/05_examples_true_pred_resid.png	Chapter 3-4	High	Reconstruction backbone and ablation/model comparison	Promote
plots/ml_runs/ml_xgb_8d/06_error_vs_features_abs_spearman.png	Chapter 3-4	High	Reconstruction backbone and ablation/model comparison	Promote
plots/ml_runs/ml_xgb_8d/06_error_vs_features_spearman_signed.png	Chapter 3-4	High	Reconstruction backbone and ablation/model comparison	Promote
plots/ml_runs/ml_xgb_8d/07_radial_profile_mean_true_pred.png	Chapter 3-4	High	Reconstruction backbone and ablation/model comparison	Promote
plots/ml_runs/ml_xgb_8d/08_feature_vs_error_hexbin_01_feat_log10_snr.png	Chapter 3-4	High	Reconstruction backbone and ablation/model comparison	Promote
plots/ml_runs/ml_xgb_8d/08_feature_vs_error_hexbin_02_feat_ruwe.png	Chapter 3-4	High	Reconstruction backbone and ablation/model comparison	Promote
plots/ml_runs/ml_xgb_8d/08_feature_vs_error_hexbin_03_feat_astrometric_excess_noise.png	Chapter 3-4	High	Reconstruction backbone and ablation/model comparison	Promote
plots/ml_runs/ml_xgb_8d/08_feature_vs_error_hexbin_04_feat_parallax_over_error.png	Chapter 3-4	High	Reconstruction backbone and ablation/model comparison	Promote
plots/ml_runs/ml_xgb_8d/08_feature_vs_error_hexbin_05_feat_visibility_periods_used.png	Chapter 3-4	High	Reconstruction backbone and ablation/model comparison	Promote
plots/ml_runs/ml_xgb_8d/08_feature_vs_error_hexbin_06_feat_ipd_frac_multi_peak.png	Chapter 3-4	High	Reconstruction backbone and ablation/model comparison	Promote
plots/ml_runs/ml_xgb_8d/08_feature_vs_error_hexbin_07_feat_c_star.png	Chapter 3-4	High	Reconstruction backbone and ablation/model comparison	Promote
